FID_;Entity;Layer;Color;Linetype;Elevation;LineWt;RefName;Layout;LONGITUDE;LATITUDE
0;Insert;0;7;Continuous;0.00000000000;25;PLATFORM FLOW;Off;107.909;-59.541
0;Insert;0;7;Continuous;0.00000000000;25;PLATFORM PRODUCTION;Off;107.9;-59.799
0;Insert;0;7;Continuous;0.00000000000;25;PLATFORM PRODUCTION;Off;107.891;-597.007
0;Insert;0;7;Continuous;0.00000000000;25;PLATFORM;Off;108.068;-593.687
0;Insert;0;7;Continuous;0.00000000000;25;PLATFORM;Off;108.079;-59.408
0;Insert;0;7;Continuous;0.00000000000;25;PLATFORM;Off;108.106;-5.951
0;Insert;0;7;Continuous;0.00000000000;25;PLATFORM;Off;108.124;-594.07
0;Insert;0;7;Continuous;0.00000000000;25;PLATFORM;Off;108.081;-60.004
0;Insert;0;7;Continuous;0.00000000000;25;PLATFORM FLOW;Off;108.116;-600.4
0;Insert;0;7;Continuous;0.00000000000;25;PIPE PEDESTRIAN BRIDGE;Off;108.114;-60.057
0;Insert;0;7;Continuous;0.00000000000;25;PLATFORM;Off;108.092;-608.72
0;Insert;0;7;Continuous;0.00000000000;25;PLATFORM;Off;108.09;-610.548
0;Insert;0;7;Continuous;0.00000000000;25;PLATFORM;Off;108.073;-6.118
0;Insert;0;7;Continuous;0.00000000000;25;PLATFORM;Off;108.137;-60.926
0;Insert;0;7;Continuous;0.00000000000;25;PLATFORM;Off;108.126;-60.866
0;Insert;0;7;Continuous;0.00000000000;25;PLATFORM;Off;108.149;-61.03
0;Insert;0;7;Continuous;0.00000000000;25;PLATFORM;Off;108.143;-611.477
0;Insert;0;7;Continuous;0.00000000000;25;PLATFORM;Off;108.165;-612.951
0;Insert;0;7;Continuous;0.00000000000;25;PLATFORM;Off;108.139;-613.75
0;Insert;0;7;Continuous;0.00000000000;25;PLATFORM;Off;108.125;-612.446
0;Insert;0;7;Continuous;0.00000000000;25;PLATFORM;Off;1.08;-6.171
0;Insert;0;7;Continuous;0.00000000000;25;PLATFORM;Off;108.093;-61.987
0;Insert;0;7;Continuous;0.00000000000;25;PLATFORM PRODUCTION;Off;108.117;-616.111
0;Insert;0;7;Continuous;0.00000000000;25;PLATFORM PRODUCTION;Off;108.093;-623.477
0;Insert;0;7;Continuous;0.00000000000;25;PLATFORM;Off;108.053;-624.656
0;Insert;0;7;Continuous;0.00000000000;25;PLATFORM;Off;108.063;-6.277
0;Insert;0;7;Continuous;0.00000000000;25;PLATFORM FLOW;Off;108.126;-61.109
0;Insert;0;7;Continuous;0.00000000000;25;PIPE PEDESTRIAN BRIDGE;Off;108.124;-611.274
0;Insert;0;7;Continuous;0.00000000000;25;PLATFORM E-PROCESS;Off;108.118;-61.155
0;Insert;0;7;Continuous;0.00000000000;25;PIPE PEDESTRIAN BRIDGE;Off;108.114;-611.486
0;Insert;0;7;Continuous;0.00000000000;25;PLATFORM E-SERVICE;Off;108.112;-610.96
0;Insert;0;7;Continuous;0.00000000000;25;PLATFORM E-SERVICE;Off;107.779;-594.377
0;Insert;0;7;Continuous;0.00000000000;25;PLATFORM E-SERVICE;Off;107.93;-593.516
0;Insert;0;7;Continuous;0.00000000000;25;PLATFORM E-SERVICE;Off;107.881;-594.633
0;Insert;0;7;Continuous;0.00000000000;25;PLATFORM E-SERVICE;Off;107.851;-61.237
0;Insert;0;7;Continuous;0.00000000000;25;PLATFORM E-SERVICE;Off;108.11;-600.776
0;Insert;0;7;Continuous;0.00000000000;25;PLATFORM;Off;108.409;-627.294
0;Insert;0;7;Continuous;0.00000000000;25;PLATFORM;On;108.4;-62.973
0;Insert;0;7;Continuous;0.00000000000;25;PLATFORM;Off;108.427;-633.072
0;Insert;0;7;Continuous;0.00000000000;25;PLATFORM;Off;108.599;-64.867
0;Insert;0;7;Continuous;0.00000000000;25;LOKASI;Off;108.364;-634.352
0;Insert;0;7;Continuous;0.00000000000;25;LOKASI;Off;107.613;-620.841
0;Insert;0;7;Continuous;0.00000000000;25;LOKASI;Off;106.793;-6.12
